name,fat,carbohydrates,vitamina,vitaminc,calories
butter chicken,49.818781287997396,25.014689999928606,163.75393180000003,22.205949999695626,1350.8995353997486
butter naan,115.44592854457814,497.0771815085913,955.490928925,0.02126214234375,3414.6381665169392
chicken fried rice,64.3523299999989,351.13609449954583,115.35877499999908,12.583754999999814,2470.10639999822
chole bhature,272.05218548795636,359.36843212220396,594.6334523123924,62.49991189791599,4102.031406057265
dahi bhalla,251.2185111201149,166.57443397907772,177.43630443878894,37.26368614341924,3239.026641005208
dal makhani,106.3603217545,329.226117300625,866.0255497124997,69.78640795,2604.5312637750008
gajar halwa,86.99361127112499,230.47588310600003,4262.311819287501,32.19556303875001,1796.4726563187505
hilsa fish curry,68.59999,15.188940000000002,66.627,273.7176,1713.7679999999998
idli,35.546080000021135,58.275480000896756,53.513999999999996,17.13,1463.6180000192576
jalebi,135.3958860000811,523.9783733334637,1118.9146666672405,1.9852500000997813,3342.3725333347365
kachori,105.54054077458791,106.76714500441595,1354.5483750001413,160.89832500009518,1386.4726296168635
kadai paneer,65.13574499999982,116.2832499999988,1071.3809999998864,721.8100499999907,1177.9594999999924
kulfi,63.51647500000009,244.98461166685183,680.1945000000002,2.8318,1756.9200000007736
masala dosa,138.42388983141254,353.603543170862,3854.544147701372,132.68006553848124,2812.004627089257
nalli nihari,138.42388983141254,353.603543170862,3854.544147701372,132.68006553848124,2812.004627089257
pasta,25.84828122122172,85.90833498773989,21.297283201294693,0.0,691.442568178608
peda,136.87042020834699,407.0634589584765,1122.8293125000155,35.94472500007803,3244.974416667324
pizza,70.85852721973856,422.0246006775219,407.25119695914213,69.33900700043584,2620.983838835843
rasgulla,39.80983333333186,264.26919166674566,561.2,14.964374999750586,1539.8575000003736
samosa,52.36107437502208,254.8203106248656,130.56475000001743,145.09162500009975,1603.6426458330352
